Aaron, C. F.
Maag, Geo.
Mack, Pat
Mack,Mike
Mackall, Thos. F..
Madheart, Elizabeth
Madison, John H.
Madison.,
Madson, John
Maffey, Samuel
Magevney, Thomas
Magg, Geo.
Maginnis, Annetta 
Mahaffy, H. J.
Mahaffy, Leonora W. 
Mahan, Hannah
Maher, Mike
Maher,Wm.
Mahny, Hannah
Mahoney, Eliza
Mahoney's child (N.Y.),
Major, T. J.
Maley, May A.
Mallory, Alpho
Malone, Josie
Malone, M.
Malone, C. C.
Maloney, Peter
Maloney, M.
Maloney, Mrs. Maggie
Maloney, Grace
Malowney, Mike
Malsey, Caroline 
Maltese, Mrs.
Malton, Uriah
Mancher, Mrs. A.
Mancher, Gus
Mangus, Annette 
Manley, Margaret A. 
Manley, Maggie E. 
Manly, Theresa
Mann, Sallie
Mann, Eddie
Mannery, Pat
Manser, Philip
Mansford, E. J.
Manuel, R. C.
Margeaye, Jennette
Marguerite.,
Mariam, G.
Maricuschalk, Mrs.
Marks, Jacob
Marks, Moses
Marsa, Mrs.
Marsden, John
Marshall, E. C.
Marshall, E.
Marso, Mary R.
Martin, Mary
Martin, John (Detroit.)
Martin, T.
Mason.,
Massei, Joseph
Massingate, H. S.
Matemur, Father
Mathews, Mrs. Fannie
Mathews, Fannie A.
Mathias, Fred.
Matthews, Mrs. Fannie
Matthews, Mrs. Fannie
Mattingly, M. A. 
May, Wm. B.
Mayer, W.
Mayer's child,
Mazetla, Anna
McAnally, W. T. 
McArniste.,
McBride, Ella
McCall, F.
McCall, Henry
McCall, Robert
McCallum, W. D.
McCann, Geo.
McCann.,
McCarty, Thomas
McCauley, J. B.
McCay, Catharine
McClanahan, Thos. H.
McCloy, J. W.
McConnell, John
McConnell, T.
McConnell, Thomas
McConnell A.,
McCooney, John
McCormick, John
McCormick, Wm.
McCowell, Thomas
McCoy, Miss Minnie
McCoy, Robert J. . 
McCrea, Mrs.
McCullogh, Ben
McCully,
McCune, Mrs. John
McDonald, Rosa
McDonald, J. W..
McDonald, Peter
McDonald, Mrs.
McDonald, J. W.
McDonald, Kate
McDonnell, Con
McDougal, C. H.
McDowell, Mrs.
McDowell, H.
McElroy, Wm. M. Milenus Father
McElroy, Sergeant 
McFall, M. E.
McFreely, John
McFresh, James
McGarvey, J. R. 
McGee, Paul
McGillivery, David
McGiouly, D. T. 
McGran, Nellie
McGrann, Miss Nellie
McGregor, Dr. T. H.
McGregor, Joe
McIlvain, Mrs.
McKay, D. L.
McKenzie, Mrs. S. A.
McKenzie.,
McKeogh, Martin
McKeon, W. James
McKeon, Mary
McKeon.,
McKernan, M.
McKerney, Mrs.
McKim, Dr. J. W.
McKinley, Mrs. Ed.
McKinley, Mrs.
McKinley's child,
McLaughlin, Florence
McLean, John W.
McLean Robert,
McLemore, John
McMahon, Mrs.
McMamara's child,
McMamari, Mrs.
McMann, A. H.
McManus, S.
McMillan, Mary
McMinane, Francis
McNeal, Charles
McNeal, James
McNickels, Thomas
McShean, John
Mead, Dr.
Mead, Francis
Mead, Sarah A.
Meagher, Annie
Meath, John
Meek, Miss S.
Meinann, Mr.
Melvin, Robert
Menees, Dr. Thos. W.
Menken, N. D.
Merritt, Geo. R.
Merton, Cornelius
Mertz, Tenny
Messick, Mr.
Metcalf, Sam
Metcalf, Emmons
Mettern, Frank
Meyers, Caroline
Meyers, Pete
Meyers, Wm.
Mhoon, W. J.
Mhoon, W. J.
Mhoon, Miss
Mhoon, J. S.
Michaelis, Gus
Michaels.,
Michot, Eugene
Michot, Minnie
Michot, Lady
Michot, Mrs. Eliza
Michot, M. L.
Mike..,
Milhirit, T. J.
Miller, A.
Miller, Jennie
Miller, R. Ben
Miller, Jo.
Miller, August
Miller, S. B.
Miller, Mrs. S. B.
Miller, Geo. S.
Miller, Capt. Willie
Miller, Lela
Miller, Billie
Miller, W. W. C.
Miller, Joe E.
Miller, John C.
Miller.,
Minor, T. F.
Mitchell, R. W.
Mitchell, M.
Mitchell, Mollie
Mitchell, Mrs. Dr. R. W. 
Mitchell, John
Mitchell, Mrs. John H.
Mitchell, John H.
Mitchell, Avery
Mitchell's boy,
Miverzagt, Wm.
Moffat, Wm.
Moffitt, John
Monahan, Mrs. Ella
Monahan, Mrs.
Monnier, C. V. S.
Monsarrat, Oscar
Monteverdi, Mary
Montgomery, Wm.
Montgomery, Dr. B. R.
Montiverdi, Miss Kate
Moon, R. B.
Moony, Rev. J. J.
Moore, Ed.
Moore, Virgil V.
Moore, Miles
Moore, Chas. G.
Moore, Jesse
Moore, W. H.
Moore, Robert
Moore.,
Moran, Mike
Moran, John
Morgan, Walter
Morgan, John
Morgan, Mrs.
Morow, Miss Julia E.
Morris, James
Morris, James
Morris, Alice
Morris, John
Morris, Mary
Morris, John R.
Morrison, Channing
Morrison, Charles
Morrissey, Margaret
Morrissey, Peter
Morrow, Mrs. Julia
Morrow, Miss Julia
Morti, Gus A.
Morton, Miss L.
Morton, Albert
Mosby, Mrs. M. L.
Mudd, John G.
Mueller, G. W.
Muller, Albert
Muller, Mrs. John G. 
Muller, Geo.
Muller, Mrs.
Mulligan, Richard
Mullihen, C. R.
Multiger, Thos.
Murdock, Lotta
Murdox, Charles
Murphy, Frank
Murphy, Eliza
Murphy, Mollie
Murphy, John
Murphy, G.
Myers, Adolph
Myers, Adolph
Myers, Francis
Myers, Wm.
Myers, John
Myers,Ed.
Myers, Mrs. Linda Omaly.
Mynatt, Thos. B.
Mynatt, Wm. H.
Nagle, Tillie
Nail, Col. John H. 
Nail, Mrs. May
Nash.,
Neal, Mrs.
Neal, Mrs. M. C.
Neidig, F.
Nelson, Dr.
Nelson, Mrs. Dr. A. W. 
Nelson, Miss Julia
Nelson, Samuel
Nelson, Mollie
Newman, Mary
Newman, James
Newsom, Ida
Nichols, W.
Nichols, W. L.
Nicholson, S. B.
Nicholson, Robert
Nicolati, F.
Noble, Robert
Noel, Theo.
Noel, Emily
Noella, Louis
Noland, Mary
Noonan, Mary
Noonan, Mrs.
Norman, J.
Norman, Mrs. A. A. 
Norman, Willie F. 
Norris, Mary E.
Norris, Mrs.
Norris, John
North.,
Northrup, John H.
Northrup, Rachel E. 
Novetsky, Annie
Nugent, Dr.
Nutall, M. H.
Nutting, G. A.
Oâ€™Bowden, Harry
Oâ€™Clements, T. F.
Oâ€™Gara, Mary
Oâ€™Haver, George
Oâ€™Hern, Mary
Oâ€™Hern, Hannah
Oâ€™Leary, Mrs. J. O.
Oâ€™Maddox, Robert
Oates, W. T.
Obermeyer, Joseph
Oberst, Wm.
Oberst, Mrs. Catharine 
Oberst, Julia
O'Brien, M.
O'Brien, Mike
O'Brien, Willie
O'Brien, John
O'Brien, Mrs.
O'Brun, James
O'Bryne, John
O'Conner, John
O'Conner, John
O'Conner, Ellen
O'Conner, Bridget 
O'Conner, Mrs. Catharine 
O'Day, Ella
O'Dell, Catharine
O'Donnell, Mrs.
O'Donnell, Wm.
O'Donnell, Mrs. B.
Oertell, H.
Offerd, Alfred N. .
O'Grady, Thomas
O'Hara, James F.
O'Keefe, Mamie
O'Leary, John
Olstead, Tim
O'Neal, L.
O'Neal, Mike
O'Neal, Alice
O'Neal, Mrs. Maggie
O'Nettie, G.
Onley, Miss
Only, John
Orsin, Henry
Osborn, Eliza
Oshen, Henry
Oskman, Henry
Otey, George
Otey, Dr. Paul F. 
Otto, A.
Otto, George
Owen, Andrew J.
Owen, Mrs. Julia M. 
Owen, Lizzie
Owens, John
Oxner, Martin
Oy,
Packer, Charles
Paegels, Mrs. Amelia
Paegels, Otto
Page,(child)
Page, John F.
Page, Miss M. B.
Pagell, Charles
Paine, Maggie
Paine, Grimmy
Pallard, Mrs. M. L.
Palmer, Lucinda
Palmer, Ella
Palmer, H. L.
Pao, John
Park, J. G.
Parker, J. C.
Paroti, Vincent
Parsons, Rev. C. C.
Partee, Charles L. 
Partlow, Mrs F.
Patchell, James
Patchell, Mrs.
Patillo, R. F.
Patillo, L. C.
Patillo, R. H.
Patterson, Joseph
Patterson, Martha
Patton, Bud
Patton, E. S.
Patton, Maggie
Paul, W. P.
Payne, M.
Payne, Mary
Peabody, Geo. N. 
Peabody, John M. 
Pearce, Mrs. Nancy
Pearl, Emma
Pearsall, Miss Ida
Pearsall, Miss Clara
Pearsell, A.
Pease, Lucy
Pease, Fannie
Peck, F. B.
Peeples, Dr. Berlin 
Peeples, Jesse
Pellegrame, E.
Pennacche, Louis
Perdeau, B. D.
Perfect, Earnest
Perkins, N. P.
Perry, Leonora
Perry, Sommers
Perry (child),
Persons, Albert
Peters, Thomas
Peterson, John
Pharrew, Phil.
Phelan's child (P. H.) ,
Phillips, Wm.
Phillips, Mrs. M. B.
Phillips, Minnie
Philmont, Annie
Phister, Jacob
Piaggio, Vic.
Pica, Victor
Pierce, Dr. Hyland 
Pierce, Nellie
Pilegrins, Rosamond
Pillson, Elizabeth
Piper, August
Piper.,
Pittman, Miss Carrie A. 
Plain, Katie
Plain, Mrs. Carrie 
Plischke, C. H.
Plischke, Mrs. C. H.
Plummer, Frank
Plummer, Al.
Plummer, B. F.
Plummer, Mrs.
Pocai, Henry
Pohl, Ann
Pohl, Theodore
Pohl, Mrs. Thos.
Pollard, J. E.
Pollock, Samuel
Pope, Charles
Pope, Willie
Pope, Nura
Porter, Mildred E.
Porter, William
Porter, W. E.
Porter, Charles
Posey, H. J.
Powell, W. T.
Powell, W. L.
Powers, Ed.
Powers, John H.
Powers, R. W.
Powers, Mr.
Poyner, Mr.
Pratt, Petty
Precont, G. L.
Prescott, Walter
Prescott, 0. F.
Presh, F.
Price, Ed.
Pritchett, T. T.
Pritchitt, Mrs.
Probert, Geo. C. 
Provenzale,(child)
Provenzale, M.
Pryor, Green
Pugh, W. T.
Pugh, Mary A.
Pugo.,
Pullen, Mrs. Ben K. 
Quenn, Mary
Quigley, Mary
Quinlin, Eugene
Quinn, Mike
Radd, Mrs.
Radt, M.
Raggio, John
Raggio, Miss Lizzie
Ragio, Mrs. Mary R.
Ragio, Amelia
Ralston, Walter
Ralston, Mrs. James
Ramsen, Mary
Ramsey, C.
Rancoskey, H.
Randle, Fred.
Rapp, Ann R.
Rash, Richard L.
Ravenly, J.
Ravenos, A.
Raverall, Alfred
Ravinale, Alfred
Rear, August
Reardon, Con.
Reckford, Fannie
Reder, Ada
Redford, M. W.
Redford, J. R.
Reed, Ross
Regan, James F.
Rehkopf, Q. F.
Reid, George
Reid, George
Reid, E. P.
Reid, Wm.
Reider, Fred.
Reignders, John
Reilly, Kate
Reiner, Martin
Reinert, Joseph
Reinhart, Dr.
Reinig, C.
Renner, Dr. J. E.
Rentz, John
Ressler, Fred.
Restmeyer, Mrs. Fred.
Retwick.,
Reugg, August
Revoil, Lizzie
Revoll, Lena
Reynolds, Harry S.
Reynolds, Miss Fannie
Reynolds, Frank
Reynolds.,
Reynolds.,
Reynolds.,
Rezzonica, Mrs. C.
Rezzonica, R. $.
Rice, Dr. John L.
Rice, Annie
Rich, Henry
Richards, Thomas
Richards, Mattie
Richardson, Jane
Riley, James
Riley, Mrs. Sarah
Riley, Mrs.
Riley, Mike
Rill, John
Ring, Maggie
Ring, Dan.
Ringer, Lafayette
Ringwald, Mrs.
Ringwald, Ed.
Ringwald, S.
Ringwald, Stella
Rinkhardt, Mrs.
Riordan, Rev. Father
Risk, E. F.
Rivoil, Mrs. Lou
Roach, Mrs. Delia
Roach, Lena
Roadman, John
Robbins, Miss Annie
Roberts, John
Roberts, Sarah
Roberts, Mrs. H.
Roberts, Susan
Roberts' son,
Robertson, George
Robertson, Eliza
Robeson, Mary
Robinson, Wm.
Robinson, Ben.
Robinson, G.
Robinson, Clark
Roby, Joseph R.
Roem held, John
Rogers, Dr. John C.
Rogers, Capt. Joseph
Rogers, Emily
Rogerson, Julian A.
Romaggi, John
Rooney, J. P.
Root, Irving
Roper, Miss Annie
Roper, Miss Lizzie
Roper, Jasper
Roper, Mrs. Maggie
Rose, J A.
Rosebrough, Rev. Dr.
Rosenthal, Aug.
Ross, Benj.
Rosselle, William
Rossi, John
Rostinger, J.
Round, Miss Bell
Rounds, Mrs. James
Rounds, James
Roush, John A.
Rowan, W. G.
Royster, F. W.
Rubenstein, Pike
Rubenstein, Lena M.
Rudd, Wm. A.
Rue, Vincent
Ruffin, Freddie
Ruffin, Joe
Ruffin, J. B.
Ruffin, Mollie
Ruil, Walter
Rummel, A.
Rushing, Miss
Rushing, Mrs.
Rushton, Wm.
Russell, Maggie
Russell, Joe
Ruth, Sister
Rutter, John
Rutter, Miss C.
Ryan, James
Ryan, Elizabeth
Ryan, Stephen
Ryan, Ellen
Ryan, Jack
Ryan, James
Ryder, Patrick
Rynders, John
Sailor, Mrs. Mary
Sales, Ella
Saltalamachia, F.
Salziger, H. G.
Salziger, H. G.
Sample, Dr. J. F.
Samuels, Morris
Sanders, Martha i. 
Sandey, Clara
Sassman, Frank
Sauer, Rabbi F.
Sauer, P. H.
Sauer, Mrs. Margaret
Saunders, T. B.
Saunders, Clara
Saunders, Wm.
Saupe, Susan
Saupe, Frank
Sauter, Charles
Saylor, Jo.
Scales, Geo.
Scales, Ollie
Scanlan, Rev. Father
Scarafiotts, Joseph
Schaefer, J.
Schafer, Herman
Schaff, Mrs.
Schalscha, Hanna
Schalscha, Ida
Schalscha, Fannie
Schaper, Alice D. 
Schappe, Fred. C.
Scharff, Alex.
Scheley, F. W.
Scheller, Mrs. M.. 
Scheller, Mr.
Scherbly, John
Scherner, Abe
Scherrie, Sister
Schilling, L.
Schilling, Ferdinand 
Schindler, C.
Schlemmer, Charles
Schlich, Mrs.
Schmuck, Peter
Schneider, Jacob
Schneider, Cora
Schneider, Mrs.
Schneider.,
Schroder, Caroline 
Schroeder, Caroline
Schroeder, H. L. 
Schuday, Margaret
Schudi, Mrs. Margaret
Schuler, Emma
Schulier, Mollie
Schultz, A. C.
Schultz, Mrs. A.
Schultz, Gullus
Schultz, Wm.
Schultze, Henry
Schulz, C.
Schulze, A. F.
Schutz, Mrs.
Schuyler, Rev. L. S.
Schwab, Antony
Scott, Martin
Scronce, J.
Scruggs, Judge P. T.
Scullen, Tim
Scullen, P.
Scully, Agnes
Scully, Charles
Scully, J. H.
Scypper, Miss Mima' 
Sears, J.'J.
Sebrall, Mr. . 
Sechumeyer, Ed.
Seessel, George
Selvin, John
Sepp, Mary
Shauders, Mrs.
Shaw, James
Shaw, Mrs. Kate
Shea, Thomas
Shears, Mr.
Sheehan, Mrs.
Sheehan, Mrs. C.
Sheehan, John
Shelby, Mat
Shelby, Mat
Shelton, Mrs. M. L.
Shelton, R. W.
Sheperd, W. B.
Sheperd, Mrs. W. B.' 
Sheperd, Miss Daisy
Sheppard, B. E.
Shepperd, Thos.
Shepperd, Francis
Shepperd, W. B.
Sherfuld, child
Sherry, Patrick
Shevenill, Miss
Shields, Peter
Shillin, W. H.
Shilly, Geo.
Shipley, Mathias 
Shippard, Wm.
Shoemaker, Morris
Shorter, Clara M.
Shroyer, W. P.
Shroyer, Margaret
Shrud, Fred.
Shumaker, Peter
Shumecks, Mr. Sr.
Shute, Frank
Shuttleworth, A.
Shuttleworth, Annie R.
Simmons, L.
Simmons, Mrs.
Simmons, Julian A.
Sister Blank,
Slack, Lizzie
Slack, Mrs.
Slagle, Josephine
Slater, Rev. Dr. E. C.
Slater, Miss Sallie
Slater, Mrs. E. C.
Slater, Miss Mollie
Slaughter, Sam.
Slemmer, Henry
Slowart, W. F.
Slowart, Mrs. J. M. 
Small, Mrs. M.
Smith, Mrs. B.
Smith, Ann
Smith, John
Smith, Frank
Smith, Mrs.
Smith, W. J.
Smith, John
Smith, John
Smith, John
Smith, John
Smith, Emma
Smith, Charles M.
Smith, M. F.
Smith, Hester
Smith, Sam
Smith, Dave
Smith,Mrs. B.
Smith, Josie
Smith, D. P.
Smith, H.
Smith, Eliza
Smith, Mrs. H. D. 
Smith, Nellie
Smith, Philip
Smith, August
Smith.,
Smith's child (W. E.) Â· ,
Sneeringer, E. F. 
Snigg, Ed. J. . . 
Snyder, Kate
Snyder, Mrs.
Solari, Tony
Solomon, E.
Somers, Mrs. Margaret
Souhr, Josephine
Sour, Ada
Spain, Lucy
Spain, Mary Ann . 
Speckernagle, Wm.
Speers, Mrs. Elizabeth
Spellman, Wm.
Spicer, Jennie
Spiegel, Paul
Spilman, P.
Spine, W. H.
Sprigg, John
Stack, Margaret
Stalm, Henry
Stalm, J. N.
Stanberg, Ed. A.
Stanley, Mike
Stanley, John R.
Stanley, Mrs. P. P.
Stansbery, Chas
Staratt, James
Starrett, Mrs. Frances E. 
Starrett, Eddie
Steele, Mrs. C. L.
Steele, Mrs. C. L.
Steele.,
Steel's child,
Stein, Mary
Steinkuhl, Mary
Steinkuhl, Margaret
Steman, Joseph
Steneth, John
Stephens, Julian
Stephenson, E.
Stephenson, Wm.
Stephenson, W. D.
Stephenson, Miss
Sterlie, Helen
Stevenson, Nelson 
Stewart, Maggie
Stewart, C. Young
Stewart, Miss Sarah M.
Stewart, Sarah W.
Stewart, P. B.
Stewart, C. T.
Stewart, Thos.
Sticky, James
Stillman, Henry
Stokes, Mrs. Ann 
Stoll, August
Stomburg, Arthur
Stone, James
Stovall, Mollie
Stowe, Mrs.
Stowe, Ida
Stowe, Maude
Strain.,
Strange, Miss
Strasman, Ben.' 
Stratman, A.
Strauburg, Earnest
Strausburg, Chas.
Street, Fannie
Strehl, Mollie
Strehl, Mr. J. A. - 
Stretch, Sarah Ann
Strikers, Elvira
Strong. .,
Sturdivant, Mrs.
Sturla, Fred.
Sudy, Mrs.
Sullivan, Loritta
Sullivan, Dennis
Sullivan, Thos.
Sullivan, M.
Sullivan, Mary
Sullivan, Mrs.
Sullivan, Jas. J.
Sullivan, Mrs.
Sutton, Willie
Sutton, George'
Swan, August
Sward, Miss Lena 
Swatkey, Mary
Sweeney, Ed.
Sweeney, James H.
Sweney, child
Swift.,
Taggart, R. L.
Tait, David
Tait, Wm.
Tarby, Michael
Tate, Jesse M.'
Tate, Lucy A.
Taylor, Lou
Taylor, Charles
Taylor, J. B.
Taylor, John B.
Taylor, Michael
Taylor, Annie
Taylor, D. Åž.
Taylor, A. W.
Taylor, Park
Taylor, Jessie
Taylor, Samuel
Taylor, Dave
Tehn, Mrs. Mary
Temps, Willie
Termoth, Bernard i
Terry, John H.
Teufel, Josephine
Thecla, Sister
Theobas, Thomas.
Thixton, W. C.
Thixton, child
Thoma, Pauline
Thoma, Charlotte 
Thomas, Caroline
Thomas, Henry
Thomas, Rev. A. 
Thomas, Alma
Thompson, Mrs. Mattic
Thompson, Willie
Thompson, Charles G..
Thompson, Al.
Thompson, Billie
Thompson, Mrs.
Thompson, R. A. 
Thompson, Aggie
Thompson, Jerry
Thompson, S. H. 
Thompson, D. H. 
Thompson, Samuel
Thorn, Birdie
Thorn, Bertha
Thrall, J. C.
Thumel, A. F.
Thweat, Noble
Thweat, A.
Tibbs, J.
Tierney, Maggie
Tierney, Charles
Tighe, Peter
Tighe, Peter Aug. 
Tighe, Samuel
Tighe, James
Tildson, Fannie
Tilson, F.
Tilton, R.
Tobin, Ellen
Tobins, Mike
Tobins, Mrs.
Tomeny, Hal.
Tomeny, Helen
Tomeny, Mrs. J. M.
Tomeny, J. M. .. .
Torrance, Hugh
Toulson, Charles
Town, Ernest
Townsend, Willie
Townsend, Miss
Townsend, Joseph
Townsley, Sam.
Tracey, Maggie
Trainn, Thomas
Trigg, Jo. W.
Trigg, A. N.
Trindall, Miss
Trumbull.,
Tuck, Francis
Tuerck, Dr.
Tufel, Mrs. B.
Tuifel, Bettie :
Tuifull, Julius 
Turner, Thomas
Turner, Thomas. 
Turner.,
Tusher, Patrick
Tweedy, Thomas
Uhl, Nick
Ullman, Carl M. 
Untrand, Charles
Vaccaro, A.
Vanhook, John
Vanhorn, W. C.
Vantroostenberg, Father
Varley, Thomas
Varner, Tom
Vaughan, Manuel
Veishber, John
Venable, Mrs.
Venable, Joseph
Venn, Mrs.
Venn, Clara
Venn, Mary T.
Veronica, Sister
Vincentia, Sister
Violet, Thomas
Virgeson, Marion W. 
Voegeli, Henry J. 
Voegeli, Mrs. Henry J. 
Volkner, Fred.
Von Kunz, C. A.
Voorhies, C. V.
Vorbrink, Joseph
Wadron, Polly
Waffon, Wm.
Wagener, Mike
Waggener, W. A.
Waggener, J. H.
Wagoner.,
Waldon, Jack
Waldron, James
Walker, Ceryl
Walker, James M.
Walker, Wm.
Walker, W. J.
Wallace, Mrs.
Waller, Mrs. M. B.
Wallin, Bettie
Walsh, Lizzie
Walsh, Thomas
Walsh, Katie
Walsh, Martin
Walsh, Daniel V.
Walsh, Bridget
Walsh, John
Walsh, Andrew
Walsh, Martin
Walsh, Dennis
Walsh, John
Walsh, Johnnie
Walton, C.
Wande, Albert
Ward, Lillie
Ward, T. F.
Ward, J. C. Sr.
Ward, J. C.
Ward, Horatio J.
Ward, Lillie
Wardlaw, David A.
Wardlaw, D. Ä„.
Ware, J. Hopson
Warneke, Mrs.
Warneke, Caroline
Warneke, Fritz
Warner, Tom
Warner, David E. 
Warner, F.
Warner, Carrie
Warren, Jennie
Warring, H. L.
Washer, Hatties 
Washington, Mrs. E. B. 
Watkins, Belle
Watson, Dr. K. P.
Weatherby, Wm.
Weaver, J. B.
Weaver, Mrs. J. B. 
Webb, Macon
Webber, Ed.
Weiden, Frank
Weidk, Charlotte 
Weidlam, John
Weidt, G. Annie
Weller, Henry Clay
Wellman, Cary
Wellman, M. C.
Wells, Frances
Wells, John
Wells, Mr.
Wells, Mrs.
Welsh, Mike
Welsh, Mary
Welsh, Patrick
Welsh, Charlie
Welsh.,
Welsk, Kate
Welsk.,
Welstein, Mrs.
Wenderlin, Brother
Wendler, John
Werrick, child
Wesche, A.
Wescher, Mrs.
Wescher, A.
West, Anthony
Westfield, A. J.
Wezy, J. W.
Whalen, Andrew
Wheeler, Lillie
Whipple, Mrs. E. A. 
White, Bertie
White, Mary S
White, Robert
White, M.
White, Lewis
White, Eugene D.
White, M.
White, Dr.
White, Gotlieb
White, Martin
Whitfield, Thomas
Whitfield, Wm.
Whitford, Mrs. E. L.
Whitmore, Mr.
Wiggins, James
Wilcox, J. H. .
Wild, Ed. 
Wildberger, Stella
Wildberger, John
Wilder, Lillie
Wileth, Mrs.
Wiley, W.
Wilform, W. Scott
Wilhelmine, Sister
Wilhert, Adolph
Wilhert.,
Wilhirst, E.
Willard, Mary Ella 
William.,
Williams, Ed.
Williams, Sarah E.
Williams, Maggie
Williams, C. M.
Williams, Caroline
Williams, Ed.
Williams, Dr. R. B.
Williams, Mrs. N. H.
Williams, Robert E.
Williams, Oswald
Williams, Davy
Williams, Wallace
Williams, W. T.
Williams, Peter
Williamson.,
Willis, William
Wilson, John 0.
Wilson, Mrs. M.
Wilson, Mrs.
Wilson, Wm.
Wilson, Helena B.
Winchester, Louisa
Windler, Francis
Winson, S.
Winson, Mrs. S.
Winstein, Josephine
Winston, Charles
Winter, Charles
Winters, Thomas
Wisely, Julia
Witte, Wilhelm
Woeller, Jo.
Woern, Louisa
Woerne, Wm.
Wolf, Mrs. Emma
Wolf, Augustus
Wolf, Mr.
Wood, Wright
Wood, Jonathan
Woodruff, Wm. C.
Woodruff, Andrew
Woods, Josephine
Woods, Mrs.
Woods, Martha
Woods, George W. 
Woodward, A. B.
Woodward, Dr. J. D.
Woodworth, Mrs.
Worsham, Ed. R.
Worsmick, Mrs.
Worth, H.
Wosnick, Joseph
Wray, John H.
Wray, Mrs.
Wright, Robert
Wright, Harry
Wright, Mrs.
Wright, King
Wright, Casper
Wright, A.
Wright, Pat. E.
Wright, Mrs. Josie 
Wright.,
Wupperman, A.
Wyle, Wm.
Yarby, Austin
Yerger, Lewis
Yonkers, Mrs.
York, Wm. J.
York, F. P.
Young, Fannie
Young, Annie
Young, Thomas
Young, Thomas
Young, John
Zanone, Mary M.
Zanoni, Mrs.
Zeirig's child,
Zimmerman, Ann
Zoanne, Baptiste
Zoyer, Tillie
